layer_ix,role,accuracy,n_heldout_tokens
0,user,0.2133752866513786,18751
0,assistant,0.4376662100088645,12409
0,tool,0.2808558198946192,12526
4,user,0.3087835315449843,18751
4,assistant,0.6135869127246354,12409
4,tool,0.2846878492735111,12526
8,user,0.18639005919684284,18751
8,assistant,0.491578692884197,12409
8,tool,0.15695353664378092,12526
12,user,0.14404565089861873,18751
12,assistant,0.40075751470706744,12409
12,tool,0.13667571451381128,12526
16,user,0.15673830729027785,18751
16,assistant,0.442904343621565,12409
16,tool,0.17531534408430466,12526
20,user,0.19326969228307825,18751
20,assistant,0.5760335240551213,12409
20,tool,0.1828197349513013,12526
24,user,0.20638899258706203,18751
24,assistant,0.5683777903134821,12409
24,tool,0.15575602746287723,12526
28,user,0.17529731747640126,18751
28,assistant,0.5145458941091143,12409
28,tool,0.11615839054766086,12526
32,user,0.16985760759426163,18751
32,assistant,0.5312273349987912,12409
32,tool,0.11296503273191762,12526
36,user,0.17263079302437204,18751
36,assistant,0.5379160286888549,12409
36,tool,0.1318856777901964,12526
40,user,0.23070769558956855,18751
40,assistant,0.6405028608268193,12409
40,tool,0.19279897812549895,12526
44,user,0.3826462588661938,18751
44,assistant,0.7077121444113144,12409
44,tool,0.26401085741657354,12526
48,user,0.4302170550903952,18751
48,assistant,0.6788621162059796,12409
48,tool,0.26361168768960563,12526
52,user,0.34563489947202813,18751
52,assistant,0.5728100572165364,12409
52,tool,0.20708925435095002,12526
56,user,0.3398218761666045,18751
56,assistant,0.5848174711902652,12409
56,tool,0.20820692958646017,12526
60,user,0.3813129966401792,18751
60,assistant,0.6283342735111612,12409
60,tool,0.2962637713555804,12526
