layer_ix,accuracy,balanced_accuracy,nll,n_train_tokens,n_heldout_tokens
0,0.29643364006775624,0.3106324388516208,1.1857954263687134,390327,43686
4,0.3884539669459323,0.4023527645143769,1.200502634048462,390327,43686
8,0.2646385569747745,0.2783074295749402,1.40272855758667,390327,43686
12,0.21485143982053748,0.22715962670649917,1.3725128173828125,390327,43686
16,0.24335027239848006,0.2583193316653825,1.3712806701660156,390327,43686
20,0.2989973904683423,0.31737431709650027,1.260710597038269,390327,43686
24,0.29469395229593004,0.31017427012114046,1.3098468780517578,390327,43686
28,0.25470402417250376,0.2686672007110588,1.4420315027236938,390327,43686
32,0.2561919150299867,0.27134999177499014,1.408429503440857,390327,43686
36,0.2647072288605045,0.2808108331678078,1.361873745918274,390327,43686
40,0.33624044316256924,0.3546698448472956,1.3021160364151,390327,43686
44,0.440965068900792,0.4514564202313606,1.115346074104309,390327,43686
48,0.45307421141784554,0.4575636196619935,1.129266619682312,390327,43686
52,0.37043904225610036,0.37517807034650485,1.3342303037643433,390327,43686
56,0.37167513619924003,0.3776154256477766,1.366408109664917,390327,43686
60,0.42709334798333565,0.43530368050230694,1.3168549537658691,390327,43686
