prompt_ix,base_sequence_ix,passage_ix,source,role,target_sha256,target_tokens_total,target_tokens,skipped_initial_content_tokens,target_start_token_ix,rendered_tokens,filler_tokens,decoded_target_tokens_match
0,0,0,c4,user,f7f20980fd0062357390d6d0c4276422e559d2842dbeb7101a327dfb30c1667f,116,116,0,62,180,59,False
1,0,0,c4,assistant,f7f20980fd0062357390d6d0c4276422e559d2842dbeb7101a327dfb30c1667f,116,116,0,67,185,59,False
2,0,0,c4,tool,f7f20980fd0062357390d6d0c4276422e559d2842dbeb7101a327dfb30c1667f,116,116,0,64,183,59,False
3,1,1,c4,user,f2323d79b1e3d156777bb7aebd18eba5b566db072db8e5e84d557a85aa497cba,420,420,0,58,480,55,False
4,1,1,c4,assistant,f2323d79b1e3d156777bb7aebd18eba5b566db072db8e5e84d557a85aa497cba,420,420,0,63,485,55,False
5,1,1,c4,tool,f2323d79b1e3d156777bb7aebd18eba5b566db072db8e5e84d557a85aa497cba,420,420,0,60,483,55,False
6,2,2,c4,user,377dae4ac13703375bc20e5ca8314130b55742de0ebc3a3355c47b142516268f,190,190,0,20,212,17,False
7,2,2,c4,assistant,377dae4ac13703375bc20e5ca8314130b55742de0ebc3a3355c47b142516268f,190,190,0,25,217,17,False
8,2,2,c4,tool,377dae4ac13703375bc20e5ca8314130b55742de0ebc3a3355c47b142516268f,190,190,0,22,215,17,False
9,3,3,c4,user,ae629ca5c6d1f2af99271292fbc53a820898d8b6b645c4a746c845abbe0ecedd,1024,1024,0,3,1029,0,True
10,3,3,c4,assistant,ae629ca5c6d1f2af99271292fbc53a820898d8b6b645c4a746c845abbe0ecedd,1024,1024,0,7,1033,0,True
11,3,3,c4,tool,ae629ca5c6d1f2af99271292fbc53a820898d8b6b645c4a746c845abbe0ecedd,1024,1024,0,5,1033,0,True
12,4,4,c4,user,f7e319923377bfd2361aab579e2e2c1b621c55c3f41467016db0adeae5282f80,59,59,0,4,65,1,False
13,4,4,c4,assistant,f7e319923377bfd2361aab579e2e2c1b621c55c3f41467016db0adeae5282f80,59,59,0,9,70,1,False
14,4,4,c4,tool,f7e319923377bfd2361aab579e2e2c1b621c55c3f41467016db0adeae5282f80,59,59,0,6,68,1,False
15,5,5,c4,user,f9485d83ac0476549256a6eb0726b648f6daee8f748e7fee41f82ed25784fd77,134,134,0,60,196,57,False
16,5,5,c4,assistant,f9485d83ac0476549256a6eb0726b648f6daee8f748e7fee41f82ed25784fd77,134,134,0,65,201,57,False
17,5,5,c4,tool,f9485d83ac0476549256a6eb0726b648f6daee8f748e7fee41f82ed25784fd77,134,134,0,62,199,57,False
18,6,6,c4,user,49bae8550f7b7919ea8743c1eee21893fd54c9018edb3eedc2cab4b81c7eaf2f,629,629,0,138,769,135,False
19,6,6,c4,assistant,49bae8550f7b7919ea8743c1eee21893fd54c9018edb3eedc2cab4b81c7eaf2f,629,629,0,143,774,135,False
20,6,6,c4,tool,49bae8550f7b7919ea8743c1eee21893fd54c9018edb3eedc2cab4b81c7eaf2f,629,629,0,140,772,135,False
21,7,7,c4,user,85797624f545aca044c9455b8d541a17edacbbde08e7675b18a59bb104846858,126,126,0,37,165,34,False
22,7,7,c4,assistant,85797624f545aca044c9455b8d541a17edacbbde08e7675b18a59bb104846858,126,126,0,42,170,34,False
23,7,7,c4,tool,85797624f545aca044c9455b8d541a17edacbbde08e7675b18a59bb104846858,127,127,0,39,169,34,False
24,8,8,c4,user,38133e7407abd79a7c32dadc80f1e1d85b127ac5094eb3090c0101155eef953d,874,874,0,18,894,15,False
25,8,8,c4,assistant,38133e7407abd79a7c32dadc80f1e1d85b127ac5094eb3090c0101155eef953d,874,874,0,23,899,15,False
26,8,8,c4,tool,38133e7407abd79a7c32dadc80f1e1d85b127ac5094eb3090c0101155eef953d,874,874,0,20,897,15,False
27,9,9,c4,user,0d83f13241b0161935e3679371962d10e6a41c7878e8c8e1f8b8bbc613dd061f,324,324,0,38,364,35,False
28,9,9,c4,assistant,0d83f13241b0161935e3679371962d10e6a41c7878e8c8e1f8b8bbc613dd061f,324,324,0,43,369,35,False
29,9,9,c4,tool,0d83f13241b0161935e3679371962d10e6a41c7878e8c8e1f8b8bbc613dd061f,324,324,0,40,367,35,False
30,10,10,c4,user,10f138f8248f8d054a616df6a32cda97785573e4b96679e8332b20d0d3158c2a,570,570,0,18,590,15,False
31,10,10,c4,assistant,10f138f8248f8d054a616df6a32cda97785573e4b96679e8332b20d0d3158c2a,570,570,0,23,595,15,False
32,10,10,c4,tool,10f138f8248f8d054a616df6a32cda97785573e4b96679e8332b20d0d3158c2a,570,570,0,20,593,15,False
33,11,11,c4,user,0c14efde63bb970f5a7938499f04079978d7c0332489882ad935b94717ddbd8c,139,139,0,94,235,91,False
34,11,11,c4,assistant,0c14efde63bb970f5a7938499f04079978d7c0332489882ad935b94717ddbd8c,139,139,0,99,240,91,False
35,11,11,c4,tool,0c14efde63bb970f5a7938499f04079978d7c0332489882ad935b94717ddbd8c,139,139,0,96,238,91,False
36,12,12,c4,user,6483685a4958da388be5d7d568a7b1891f9a5c0965ac46a581a47bbfc6d00afc,554,554,0,10,566,7,False
37,12,12,c4,assistant,6483685a4958da388be5d7d568a7b1891f9a5c0965ac46a581a47bbfc6d00afc,554,554,0,15,571,7,False
38,12,12,c4,tool,6483685a4958da388be5d7d568a7b1891f9a5c0965ac46a581a47bbfc6d00afc,554,554,0,12,569,7,False
39,13,13,c4,user,4ab6154ba91865ee7555e7b6dcbcc1ae5b225b48ea497d83479ed117e1f3373b,219,219,0,52,273,49,False
40,13,13,c4,assistant,4ab6154ba91865ee7555e7b6dcbcc1ae5b225b48ea497d83479ed117e1f3373b,219,219,0,57,278,49,False
41,13,13,c4,tool,4ab6154ba91865ee7555e7b6dcbcc1ae5b225b48ea497d83479ed117e1f3373b,219,219,0,54,276,49,False
42,14,14,c4,user,10dc0253517a2d05029f3d1ccc64cc4eb598f877544f8c67e3fd807bb0389c54,833,833,0,79,914,76,False
